gameId,nationality,teamId,shortCode,AS,BS,DR,OR,REB,FD,FG2A,FG2M,FG2P,FG3A,FG3M,FG3P,FGA,FGM,FGP,FTA,FTM,FTP,FGIA,FGIM,FGIP,PF,PTS,ST,TO,ID,10+ ppg,MP,opp_nationality,opp_teamId,opp_shortCode,opp_AS,opp_BS,opp_DR,opp_OR,opp_REB,opp_FD,opp_FG2A,opp_FG2M,opp_FG2P,opp_FG3A,opp_FG3M,opp_FG3P,opp_FGA,opp_FGM,opp_FGP,opp_FTA,opp_FTM,opp_FTP,opp_FGIA,opp_FGIM,opp_FGIP,opp_PF,opp_PTS,opp_ST,opp_TO
132952,USA,154,USA,39,12,41,25,66,20,49,30,61.2,32,12,37.5,81,42,51.9,21,16,76.2,33,21,63.6,6,112,12,12,1,7,200,Mexico,104,MEX,11,1,17,19,36,6,49,10,20.4,22,5,22.7,71,15,21.1,7,1,14.3,32,7,21.9,20,36,5,22
132952,Mexico,104,MEX,11,1,17,19,36,6,49,10,20.4,22,5,22.7,71,15,21.1,7,1,14.3,32,7,21.9,20,36,5,22,2,2,200,USA,154,USA,39,12,41,25,66,20,49,30,61.2,32,12,37.5,81,42,51.9,21,16,76.2,33,21,63.6,6,112,12,12
132954,Latvia,610,LAT,19,1,25,14,39,18,51,22,43.1,14,2,14.3,65,24,36.9,14,10,71.4,46,21,45.7,16,60,8,20,1,3,200,People 's Republic of China,39,CHN,24,8,28,18,46,16,40,23,57.5,32,8,25,72,31,43.1,22,13,59.1,36,19,52.8,18,83,9,13
132954,People 's Republic of China,39,CHN,24,8,28,18,46,16,40,23,57.5,32,8,25,72,31,43.1,22,13,59.1,36,19,52.8,18,83,9,13,2,3,200,Latvia,610,LAT,19,1,25,14,39,18,51,22,43.1,14,2,14.3,65,24,36.9,14,10,71.4,46,21,45.7,16,60,8,20
132953,Australia,16,AUS,20,6,34,12,46,16,42,22,52.4,24,5,20.8,66,27,40.9,16,12,75,40,22,55,11,71,7,16,1,3,200,Germany,64,GER,9,3,29,16,45,11,37,12,32.4,31,5,16.1,68,17,25,13,6,46.2,29,8,27.6,16,45,8,18
132953,Germany,64,GER,9,3,29,16,45,11,37,12,32.4,31,5,16.1,68,17,25,13,6,46.2,29,8,27.6,16,45,8,18,2,1,200,Australia,16,AUS,20,6,34,12,46,16,42,22,52.4,24,5,20.8,66,27,40.9,16,12,75,40,22,55,11,71,7,16
132955,Côte d'Ivoire,44,CIV,8,0,22,5,27,14,21,8,38.1,18,3,16.7,39,11,28.2,18,8,44.4,17,8,47.1,19,33,5,28,1,2,200,Spain,138,ESP,26,1,28,30,58,19,51,24,47.1,33,9,27.3,84,33,39.3,17,12,70.6,42,22,52.4,14,87,20,12
132955,Spain,138,ESP,26,1,28,30,58,19,51,24,47.1,33,9,27.3,84,33,39.3,17,12,70.6,42,22,52.4,14,87,20,12,2,3,200,Côte d'Ivoire,44,CIV,8,0,22,5,27,14,21,8,38.1,18,3,16.7,39,11,28.2,18,8,44.4,17,8,47.1,19,33,5,28
132958,Colombia,40,COL,9,3,36,13,49,8,49,11,22.5,19,3,15.8,68,14,20.6,13,9,69.2,30,9,30,14,40,13,16,1,1,200,New Zealand,113,NZL,15,3,39,28,67,14,51,21,41.2,30,3,10,81,24,29.6,19,9,47.4,45,20,44.4,8,60,6,16
132958,New Zealand,113,NZL,15,3,39,28,67,14,51,21,41.2,30,3,10,81,24,29.6,19,9,47.4,45,20,44.4,8,60,6,16,2,2,200,Colombia,40,COL,9,3,36,13,49,8,49,11,22.5,19,3,15.8,68,14,20.6,13,9,69.2,30,9,30,14,40,13,16
