gameId,date,home_team,home_short,home_id,home_score,away_team,away_short,away_id,away_score,country,city,fibaZone,competition,round,game_link
132954,2026-07-15,Latvia,LAT,610,60,People 's Republic of China,CHN,39,83,Czechia,Brno,World,FIBA U17 Women's Basketball World Cup,Round of 16,https://www.fiba.basketball/en/events/fiba-u17-womens-basketball-world-cup-2026/games/132954-LAT-CHN
132953,2026-07-15,Australia,AUS,16,71,Germany,GER,64,45,Czechia,Brno,World,FIBA U17 Women's Basketball World Cup,Round of 16,https://www.fiba.basketball/en/events/fiba-u17-womens-basketball-world-cup-2026/games/132953-AUS-GER
132955,2026-07-15,Côte d'Ivoire,CIV,44,33,Spain,ESP,138,87,Czechia,Brno,World,FIBA U17 Women's Basketball World Cup,Round of 16,https://www.fiba.basketball/en/events/fiba-u17-womens-basketball-world-cup-2026/games/132955-CIV-ESP
132958,2026-07-15,Colombia,COL,40,40,New Zealand,NZL,113,60,Czechia,Brno,World,FIBA U17 Women's Basketball World Cup,Round of 16,https://www.fiba.basketball/en/events/fiba-u17-womens-basketball-world-cup-2026/games/132958-COL-NZL
132959,2026-07-15,Czechia,CZE,886,40,Canada,CAN,34,67,Czechia,Brno,World,FIBA U17 Women's Basketball World Cup,Round of 16,https://www.fiba.basketball/en/events/fiba-u17-womens-basketball-world-cup-2026/games/132959-CZE-CAN
132957,2026-07-15,Slovenia,SLO,618,66,Italy,ITA,83,44,Czechia,Brno,World,FIBA U17 Women's Basketball World Cup,Round of 16,https://www.fiba.basketball/en/events/fiba-u17-womens-basketball-world-cup-2026/games/132957-SLO-ITA
132956,2026-07-15,Japan,JPN,85,80,Egypt,EGY,53,53,Czechia,Brno,World,FIBA U17 Women's Basketball World Cup,Round of 16,https://www.fiba.basketball/en/events/fiba-u17-womens-basketball-world-cup-2026/games/132956-JPN-EGY
132963,2026-07-17,Côte d'Ivoire,CIV,44,51,Colombia,COL,40,66,Czechia,Brno,World,FIBA U17 Women's Basketball World Cup,Class 9-16,https://www.fiba.basketball/en/events/fiba-u17-womens-basketball-world-cup-2026/games/132963-CIV-COL
132965,2026-07-17,Australia,AUS,16,70,Japan,JPN,85,64,Czechia,Brno,World,FIBA U17 Women's Basketball World Cup,Quarter-Finals,https://www.fiba.basketball/en/events/fiba-u17-womens-basketball-world-cup-2026/games/132965-AUS-JPN
132961,2026-07-17,Germany,GER,64,54,Egypt,EGY,53,58,Czechia,Brno,World,FIBA U17 Women's Basketball World Cup,Class 9-16,https://www.fiba.basketball/en/events/fiba-u17-womens-basketball-world-cup-2026/games/132961-GER-EGY
132967,2026-07-17,Spain,ESP,138,84,New Zealand,NZL,113,55,Czechia,Brno,World,FIBA U17 Women's Basketball World Cup,Quarter-Finals,https://www.fiba.basketball/en/events/fiba-u17-womens-basketball-world-cup-2026/games/132967-ESP-NZL
132962,2026-07-17,Latvia,LAT,610,72,Czechia,CZE,886,59,Czechia,Brno,World,FIBA U17 Women's Basketball World Cup,Class 9-16,https://www.fiba.basketball/en/events/fiba-u17-womens-basketball-world-cup-2026/games/132962-LAT-CZE
132966,2026-07-17,People 's Republic of China,CHN,39,68,Canada,CAN,34,69,Czechia,Brno,World,FIBA U17 Women's Basketball World Cup,Quarter-Finals,https://www.fiba.basketball/en/events/fiba-u17-womens-basketball-world-cup-2026/games/132966-CHN-CAN
132960,2026-07-17,Mexico,MEX,104,62,Italy,ITA,83,72,Czechia,Brno,World,FIBA U17 Women's Basketball World Cup,Class 9-16,https://www.fiba.basketball/en/events/fiba-u17-womens-basketball-world-cup-2026/games/132960-MEX-ITA
132964,2026-07-17,USA,USA,154,77,Slovenia,SLO,618,57,Czechia,Brno,World,FIBA U17 Women's Basketball World Cup,Quarter-Finals,https://www.fiba.basketball/en/events/fiba-u17-womens-basketball-world-cup-2026/games/132964-USA-SLO
132969,2026-07-18,Germany,GER,64,80,Côte d'Ivoire,CIV,44,47,Czechia,Brno,World,FIBA U17 Women's Basketball World Cup,Class 13-16,https://www.fiba.basketball/en/events/fiba-u17-womens-basketball-world-cup-2026/games/132969-GER-CIV
132971,2026-07-18,Japan,JPN,85,52,New Zealand,NZL,113,77,Czechia,Brno,World,FIBA U17 Women's Basketball World Cup,Class 5-8,https://www.fiba.basketball/en/events/fiba-u17-womens-basketball-world-cup-2026/games/132971-JPN-NZL
132982,2026-07-18,Italy,ITA,83,63,Latvia,LAT,610,59,Czechia,Brno,World,FIBA U17 Women's Basketball World Cup,Class 9-12,https://www.fiba.basketball/en/events/fiba-u17-womens-basketball-world-cup-2026/games/132982-ITA-LAT
132970,2026-07-18,Slovenia,SLO,618,71,People 's Republic of China,CHN,39,73,Czechia,Brno,World,FIBA U17 Women's Basketball World Cup,Class 5-8,https://www.fiba.basketball/en/events/fiba-u17-womens-basketball-world-cup-2026/games/132970-SLO-CHN
132968,2026-07-18,Mexico,MEX,104,66,Czechia,CZE,886,74,Czechia,Brno,World,FIBA U17 Women's Basketball World Cup,Class 13-16,https://www.fiba.basketball/en/events/fiba-u17-womens-basketball-world-cup-2026/games/132968-MEX-CZE
132973,2026-07-18,Australia,AUS,16,51,Spain,ESP,138,58,Czechia,Brno,World,FIBA U17 Women's Basketball World Cup,Semi-Finals,https://www.fiba.basketball/en/events/fiba-u17-womens-basketball-world-cup-2026/games/132973-AUS-ESP
132983,2026-07-18,Egypt,EGY,53,72,Colombia,COL,40,36,Czechia,Brno,World,FIBA U17 Women's Basketball World Cup,Class 9-12,https://www.fiba.basketball/en/events/fiba-u17-womens-basketball-world-cup-2026/games/132983-EGY-COL
132972,2026-07-18,USA,USA,154,86,Canada,CAN,34,60,Czechia,Brno,World,FIBA U17 Women's Basketball World Cup,Semi-Finals,https://www.fiba.basketball/en/events/fiba-u17-womens-basketball-world-cup-2026/games/132972-USA-CAN
132974,2026-07-19,Mexico,MEX,104,88,Côte d'Ivoire,CIV,44,72,Czechia,Brno,World,FIBA U17 Women's Basketball World Cup,Class 15-16,https://www.fiba.basketball/en/events/fiba-u17-womens-basketball-world-cup-2026/games/132974-MEX-CIV
132975,2026-07-19,Czechia,CZE,886,37,Germany,GER,64,63,Czechia,Brno,World,FIBA U17 Women's Basketball World Cup,Class 13-14,https://www.fiba.basketball/en/events/fiba-u17-womens-basketball-world-cup-2026/games/132975-CZE-GER
132976,2026-07-19,Latvia,LAT,610,60,Colombia,COL,40,46,Czechia,Brno,World,FIBA U17 Women's Basketball World Cup,Class 11-12,https://www.fiba.basketball/en/events/fiba-u17-womens-basketball-world-cup-2026/games/132976-LAT-COL
132977,2026-07-19,Italy,ITA,83,63,Egypt,EGY,53,80,Czechia,Brno,World,FIBA U17 Women's Basketball World Cup,Class 9-10,https://www.fiba.basketball/en/events/fiba-u17-womens-basketball-world-cup-2026/games/132977-ITA-EGY
132978,2026-07-19,Slovenia,SLO,618,45,Japan,JPN,85,54,Czechia,Brno,World,FIBA U17 Women's Basketball World Cup,Class 7-8,https://www.fiba.basketball/en/events/fiba-u17-womens-basketball-world-cup-2026/games/132978-SLO-JPN
132979,2026-07-19,People 's Republic of China,CHN,39,61,New Zealand,NZL,113,76,Czechia,Brno,World,FIBA U17 Women's Basketball World Cup,Class 5-6,https://www.fiba.basketball/en/events/fiba-u17-womens-basketball-world-cup-2026/games/132979-CHN-NZL
132980,2026-07-19,Canada,CAN,34,57,Australia,AUS,16,64,Czechia,Brno,World,FIBA U17 Women's Basketball World Cup,3rd Place Game,https://www.fiba.basketball/en/events/fiba-u17-womens-basketball-world-cup-2026/games/132980-CAN-AUS
132981,2026-07-19,USA,USA,154,82,Spain,ESP,138,73,Czechia,Brno,World,FIBA U17 Women's Basketball World Cup,Final,https://www.fiba.basketball/en/events/fiba-u17-womens-basketball-world-cup-2026/games/132981-USA-ESP
