gameId,nationality,teamId,shortCode,PTS,Possessions,ORTG,10+ ppg,DRTG,EFG%,TO/Poss,DRB rt,AST/FG%
132958,Colombia,40,COL,40,76.3359375,52.4,1,78.6,22.8,21,56.2,64.3
132958,New Zealand,113,NZL,60,76.3359375,78.6,2,52.4,31.5,21,75,62.5
132959,Czechia,886,CZE,40,80.38326841144249,49.8,1,83.4,22.4,26.1,56.6,68.8
132959,Canada,34,CAN,67,80.38326841144249,83.4,3,49.8,38.7,27.4,66.1,56.5
132957,Slovenia,618,SLO,66,73.5642537746806,89.7,4,59.8,41.5,24.5,69,60.9
132957,Italy,83,ITA,44,73.5642537746806,59.8,2,89.7,32.8,31.3,63.4,58.8
132956,Japan,85,JPN,80,73.47829302987199,108.9,3,72.1,48.4,15,64.9,51.9
132956,Egypt,53,EGY,53,73.47829302987199,72.1,3,108.9,28.1,16.3,75.7,52.6
132963,Côte d'Ivoire,44,CIV,51,79.734775,64,2,82.8,32,23.8,68.8,70.6
132963,Colombia,40,COL,66,79.734775,82.8,2,64,48,36.4,76,100
132965,Australia,16,AUS,70,67.035,104.4,3,95.5,46.6,23.9,85.7,62.5
132965,Japan,85,JPN,64,67.035,95.5,2,104.4,47.6,13.4,60,22.2
132961,Germany,64,GER,54,77.52573170731708,69.7,1,74.8,32.8,25.8,80.5,83.3
132961,Egypt,53,EGY,58,77.52573170731708,74.8,3,69.7,38.7,24.5,69.4,84.2
132967,Spain,138,ESP,84,82.51642857142858,101.8,3,66.7,39.2,13.3,71.4,68.8
132967,New Zealand,113,NZL,55,82.51642857142858,66.7,2,101.8,34.3,30.3,59,112.5
132962,Latvia,610,LAT,72,78.51159183673468,91.7,3,75.1,38.5,31.8,63.3,81.2
132962,Czechia,886,CZE,59,78.51159183673468,75.1,0,91.7,35.7,26.7,60,58.3
132966,People 's Republic of China,39,CHN,68,79.52323076923076,85.5,3,86.8,39.4,20.1,67.5,65.5
132966,Canada,34,CAN,69,79.52323076923076,86.8,4,85.5,44.5,26.4,63.5,61.5
